Protein_id	Subfamily	Clade	Subclade	Group	Subgroup
Bac226_126074730_tax	1	30	8	34	324
Bac226_200884525_tax	1	30	8	34	324
Bac226_186572135_tax	1	30	8	34	324
Bac226_54162630_tax	1	30	8	34	324
Bac226_128168583_tax	1	30	8	34	324
Bac226_328052363_tax	1	30	8	34	324
Bac226_128688577_tax	1	30	8	34	324
Bac226_204566565_tax	1	30	8	34	324
Bac226_91226269_tax	1	30	8	34	324
Bac226_303277636_tax	1	30	8	34	324
Bac226_14764907_tax	1	30	8	34	324
Bac226_422957266_tax	1	30	8	34	324
Bac226_49990855_tax	1	30	8	34	324
Bac226_336996370_tax	1	30	8	34	324
Bac226_196227153_tax	1	30	8	34	324
Bac226_240755338_tax	1	30	8	34	324
Bac226_227067317_tax	1	30	8	34	324
Bac226_100969190_tax	1	30	8	34	324
Bac226_390477608_tax	1	30	8	34	324
Bac226_280069194_tax	1	30	8	34	324
Bac226_145242711_tax	1	30	8	34	324
Bac226_20118419_tax	1	30	8	34	324
Bac226_233682470_tax	1	30	8	34	324
Bac226_242958807_tax	1	30	8	34	324
Bac226_1601533_tax	1	30	8	34	324
Bac226_19197258_tax	1	30	8	34	324
Bac226_185698852_tax	1	30	8	34	324
Bac226_405021918_tax	1	30	8	34	324
Bac226_376345862_tax	1	30	8	34	324
Bac226_257724000_tax	1	30	8	34	324
Bac226_50969842_tax	1	30	8	34	324
Bac226_94117509_tax	1	30	8	34	324
Bac226_66449936_tax	1	30	8	34	324
Bac226_275714701_tax	1	30	8	34	324
Bac226_150796235_tax	1	30	8	34	324
Bac226_368469726_tax	1	30	8	34	324
Bac226_59334392_tax	1	30	8	34	324
Bac226_222785989_tax	1	30	8	34	324
Bac226_163386822_tax	1	30	8	34	324
Bac226_207822477_tax	1	30	8	34	324
Bac226_295295509_tax	1	30	8	34	pbt_Bac226_295295509_tax
Bac226_342897893_tax	1	30	8	34	pbt_Bac226_342897893_tax
Bac226_110767727_tax	1	30	8	34	455
Bac226_135822047_tax	1	30	8	34	455
Bac226_154460509_tax	1	30	8	34	455
Bac226_201126602_tax	1	30	8	34	455
Bac226_237850226_tax	1	30	8	34	455
Bac226_38427847_tax	1	30	8	34	455
Bac226_61192335_tax	1	30	8	34	455
Bac226_398712044_tax	1	30	8	34	455
Bac226_376091130_tax	1	30	8	34	455
Bac226_64942696_tax	1	30	8	34	455
Bac226_220792299_tax	1	30	8	34	455
Bac226_278117463_tax	1	30	8	34	466
Bac226_275003970_tax	1	30	8	34	466
Bac226_411421300_tax	1	30	8	34	pbt_Bac226_411421300_tax
Bac226_423327014_tax	1	30	8	34	tbl_Bac226_423327014_tax
Bac226_211800869_tax	1	30	8	34	470
Bac226_323615598_tax	1	30	8	34	470
Bac226_29513084_tax	1	30	8	34	470
Bac226_323254798_tax	1	30	8	34	470
Bac226_325838085_tax	1	30	8	34	470
Bac226_30011958_tax	1	30	8	34	470
Bac226_409735462_tax	1	30	8	34	470
Bac226_417771219_tax	1	30	8	34	470
Bac226_134504347_tax	1	30	8	34	470
Bac226_325837311_tax	1	30	8	34	470
Bac226_129199040_tax	1	30	8	34	470
Bac226_230337003_tax	1	30	8	34	470
Bac226_99598318_tax	1	30	8	34	470
Bac226_173905493_tax	1	30	8	34	470
Bac226_371515862_tax	1	30	8	34	470
Bac226_421415495_tax	1	30	8	34	470
Bac226_243831118_tax	1	30	8	34	470
Bac226_250083588_tax	1	30	8	34	470
Bac226_189916231_tax	1	30	8	34	470
Bac226_93724868_tax	1	30	8	34	470
Bac226_320287387_tax	1	30	8	34	470
Bac226_314764303_tax	1	30	8	34	470
Bac226_360881631_tax	1	30	8	34	491
Bac226_228754366_tax	1	30	8	34	491
Bac226_155584458_tax	1	30	8	34	491
Bac226_285389218_tax	1	30	8	34	491
Bac226_65018183_tax	1	30	8	34	491
Bac226_378516795_tax	1	30	8	34	491
Bac226_400409950_tax	1	30	8	34	491
Bac226_355504109_tax	1	30	8	34	491
Bac226_347011498_tax	1	30	8	34	491
Bac226_254268814_tax	1	30	8	34	491
Bac226_124063826_tax	1	30	8	34	491
Bac226_53757365_tax	1	30	8	34	491
Bac226_285569067_tax	1	30	8	34	491
